# Constructed from biom file
#OTU ID	DZ13-78_S62	DZ13-79_S63	DZ13-81_S64	DZ13-83_S66	DZ14-84_S67	DZ14-85_S68	DZ14-86_S69	DZ14-87_S70	DZ14-88_S71	DZ15-90_S72	DZ15-91_S73	DZ15-94_S74	DZ15-95_S75	DZ15-96_S76	DZ16-100_S79	DZ16-101_S80	DZ16-103_S81	DZ16-98_S77	DZ16-99_S78	DZ17-107_S82	DZ17-108_S83	DZ17-109_S84	DZ17-110_S85	DZ17-111_S86	DZ18-112_S87	DZ18-113_S88	DZ18-114_S89	DZ18-115_S90	DZ18-116_S91	IZ07-35_S31	IZ07-36_S32	IZ07-39_S33	IZ07-40_S34	IZ07-41_S35	IZ08-42_S36	IZ08-43_S37	IZ08-46_S38	IZ09-49_S41	IZ09-52_S43	IZ09-55_S45	IZ10-57_S46	IZ10-58_S47	IZ10-59_S48	IZ10-60_S49	IZ10-62_S50	IZ11-63_S51	IZ11-65_S53	IZ11-66_S54	IZ11-67_S55	IZ12-70_S56	IZ12-71_S57	IZ12-72_S58	IZ12-76_S61	WT01-01_S1	WT01-02_S2	WT01-03_S3	WT01-04_S4	WT01-05_S5	WT02-06_S6	WT02-07_S7	WT02-08_S8	WT02-09_S9	WT02-10_S10	WT03-11_S11	WT03-12_S12	WT03-13_S13	WT03-14_S14	WT03-15_S15	WT04-17_S17	WT04-18_S18	WT04-19_S19	WT04-20_S20	WT05-21_S21	WT05-22_S22	WT05-23_S23	WT05-24_S24	WT05-27_S25	WT06-28_S26	WT06-29_S27	WT06-30_S28	WT06-32_S29	WT06-34_S30
4c984feed305a1835ed619f6d4661c38	0.0	0.0	0.0	452.0	0.0	0.0	0.0	0.0	76.0	0.0	311.0	0.0	0.0	0.0	0.0	0.0	59147.0	34781.0	49682.0	0.0	0.0	0.0	0.0	0.0	1673.0	307.0	1629.0	124.0	874.0	0.0	0.0	0.0	0.0	78.0	0.0	0.0	0.0	0.0	0.0	119.0	0.0	0.0	0.0	11604.0	1708.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4ec92a9d37b3208caf194c7a2efc0eca	0.0	106.0	0.0	288.0	0.0	0.0	0.0	0.0	8716.0	0.0	17.0	106.0	575.0	2251.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14630.0	5401.0	3134.0	0.0	35472.0	0.0	17.0	35.0	0.0	1408.0	0.0	0.0	0.0	0.0	0.0	418.0	0.0	0.0	153.0	21.0	1357.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3785.0	0.0	926.0	8320.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9b740e8e047c98bb45cd4dc582c1a7f9	0.0	0.0	0.0	589.0	23.0	0.0	0.0	0.0	3771.0	48.0	11333.0	757.0	1659.0	2069.0	0.0	0.0	1343.0	25.0	205.0	668.0	129.0	643.0	258.0	203.0	5067.0	2239.0	4966.0	10456.0	451.0	5.0	3418.0	3893.0	2574.0	4401.0	0.0	45.0	17.0	0.0	69.0	8023.0	18.0	13.0	143.0	75.0	5415.0	4.0	0.0	0.0	0.0	2.0	0.0	37.0	8.0	12.0	15.0	0.0	0.0	39.0	0.0	0.0	39.0	45.0	24.0	125.0	97.0	20.0	18.0	32.0	0.0	6.0	0.0	2346.0	10.0	14.0	22.0	17.0	2116.0	3.0	0.0	0.0	18.0	0.0
2f4a2b08eec8d8d5f66dc0d20552881f	465.0	85.0	280.0	196.0	117.0	0.0	171.0	0.0	138.0	5670.0	305.0	146.0	316.0	183.0	89.0	178.0	26.0	129.0	106.0	1388.0	2500.0	36415.0	6968.0	9072.0	83.0	238.0	130.0	252.0	15.0	73.0	97.0	76.0	50.0	632.0	92.0	408.0	399.0	120.0	76.0	90.0	146.0	62.0	225.0	54.0	85.0	213.0	63.0	488.0	191.0	157.0	330.0	385.0	173.0	279.0	1119.0	41.0	122.0	2622.0	45.0	238.0	257.0	38.0	101.0	19.0	57.0	0.0	0.0	0.0	75.0	103.0	175.0	8.0	39.0	59.0	296.0	19.0	1009.0	294.0	133.0	442.0	80.0	149.0
e0b88f8dc3b28eb8edc9fd49cb546310	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	349.0	764.0	794.0	374.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1173.0	493.0	18846.0	0.0	147.0	0.0	107.0	89.0	88.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	37341.0	5576.0	0.0	0.0	0.0	38.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0	0.0	138.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.0	0.0	0.0	0.0	0.0	0.0
a42ba2342d7081281c3bfc0c99e1bfcf	0.0	20.0	0.0	397.0	0.0	30085.0	458.0	25019.0	1373.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0	0.0	501.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	30.0	76.0	0.0	0.0	661.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	225.0	0.0	0.0	0.0	0.0	10.0
da3fd1a55a332ea87aa1da2b633d54b2	0.0	17.0	0.0	47.0	9.0	0.0	0.0	0.0	25019.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	36.0	0.0	0.0	26.0	0.0	0.0	0.0	2459.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	15.0	0.0	63.0	0.0	1309.0	3240.0	8601.0	976.0	511.0	24.0	0.0	0.0	10219.0	19.0	49.0	0.0	0.0	0.0	0.0	47.0	39.0	0.0	0.0
1d3069c72e6247503677e95b082566a1	3448.0	130.0	134.0	517.0	0.0	9.0	65.0	39.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	243.0	23.0	0.0	172.0	31.0	72.0	239.0	493.0	0.0	0.0	9.0	10.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	74.0	1110.0	1687.0	1896.0	0.0	0.0	0.0	203.0	296.0	0.0	0.0	152.0	0.0	0.0	15.0	50.0	0.0	1315.0	0.0	37.0	636.0	229.0	0.0	2.0	0.0	0.0	50.0	141.0	66.0	0.0	0.0	5792.0	15810.0	111.0	2316.0	57.0	77.0	750.0	1113.0	33.0	76.0
33cffd2c9eba73e4feee5abe2509b790	0.0	0.0	0.0	15.0	144.0	0.0	43.0	0.0	511.0	355.0	12659.0	16.0	55.0	0.0	65.0	0.0	3517.0	5494.0	1518.0	1558.0	144.0	273.0	4211.0	222.0	1357.0	338.0	240.0	25.0	512.0	0.0	9.0	0.0	0.0	39.0	0.0	26.0	0.0	0.0	0.0	57.0	0.0	39.0	14.0	134.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	341.0	0.0	13.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	340.0	2084.0	1127.0	740.0	305.0	0.0	0.0	0.0	204.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
97904005472b49b5a729b1f7470c3bce	16.0	0.0	0.0	150.0	0.0	0.0	4.0	0.0	5979.0	0.0	0.0	395.0	769.0	4013.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	485.0	123.0	352.0	45.0	2749.0	0.0	60.0	191.0	83.0	832.0	0.0	0.0	0.0	0.0	0.0	5321.0	0.0	7.0	0.0	0.0	1688.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	248.0	0.0	0.0	0.0	0.0	52.0	2104.0	413.0	215.0	408.0	804.0	0.0	9.0	0.0	3835.0	0.0	0.0	0.0	14.0	2362.0	0.0	0.0	0.0	0.0	6.0
